Tracking Number,Updates
772709398940,15/03/2025 12:44AM - Clearance Delay - Clearance delay at OAKLAND
772593724223,15/03/2025 06:48AM - On the way - At destination sort facility at MIAMI
772621863856,15/03/2025 09:10PM - On the way - Departed FedEx location at NEWARK
772685406974,17/03/2025 09:30AM - Out for delivery - On FedEx vehicle for delivery at TSUEN WAN
772680931598,17/03/2025 12:11PM - Delivered - Delivered at TSIM SHA TSUI
1104615341,17/03/2025 10:05AM - Delivered at SINGAPORE - SINGAPORE - N/A
772689037691,17/03/2025 09:23AM - Out for delivery - On FedEx vehicle for delivery at SINGAPORE
5438665540,16/03/2025 03:00PM - Delivered at SINGAPORE - SINGAPORE - N/A
772710049856,15/03/2025 01:50AM - On the way - On the way at MEMPHIS - Details: Package available for clearance
772692092717,15/03/2025 03:15PM - On the way - At destination sort facility at ATLANTA
772709104584,15/03/2025 04:02AM - Clearance Delay - Clearance delay at MEMPHIS - Details: In clearance process.
1104819483,15/03/2025 02:50PM - Delivered at SINGAPORE - SINGAPORE - N/A
772709073180,16/03/2025 07:14AM - Out for delivery - On FedEx vehicle for delivery at LONG ISLAND CITY
772710003328,15/03/2025 08:04AM - On the way - Departed FedEx location at MEMPHIS
772622996206,17/03/2025 10:31AM - Delivered - Delivered at DUBAI - Details: We received payment during delivery
772710487858,15/03/2025 04:08AM - On the way - Departed FedEx location at MEMPHIS
772710715309,15/03/2025 06:39AM - On the way - Arrived at FedEx location at INDIANAPOLIS
772710767637,16/03/2025 08:01PM - On the way - At destination sort facility at MIAMI
772711955186,16/03/2025 08:55PM - On the way - At local FedEx facility at SINGAPORE
772656334140,17/03/2025 08:26AM - Out for delivery - On FedEx vehicle for delivery at SINGAPORE
772656483976,17/03/2025 10:22AM - Delivered - Delivered at SINGAPORE
772656662561,17/03/2025 06:43AM - Out for delivery - On FedEx vehicle for delivery at SINGAPORE
772656817071,17/03/2025 10:10AM - Delivered - Delivered at SINGAPORE
772657030810,17/03/2025 06:45AM - Out for delivery - On FedEx vehicle for delivery at SINGAPORE
772657007498,17/03/2025 09:26AM - Delivered - Delivered at SINGAPORE
772656901487,17/03/2025 09:22AM - Out for delivery - On FedEx vehicle for delivery at SINGAPORE
772656836880,17/03/2025 02:30PM - Delivered - Delivered at SINGAPORE
772656756591,17/03/2025 02:19PM - Delivered - Delivered at TELOK BLANGAH
772656704127,17/03/2025 08:13AM - Out for delivery - On FedEx vehicle for delivery at SINGAPORE
772656437304,17/03/2025 06:52AM - Delivery updated - Delivery exception at SINGAPORE - Details: Business closed - No delivery attempt
772656215705,17/03/2025 08:22AM - Out for delivery - On FedEx vehicle for delivery at SINGAPORE
772656644507,17/03/2025 01:19PM - Delivered - Delivered at REDHILL
772656499221,17/03/2025 01:26PM - Out for delivery - On FedEx vehicle for delivery at SINGAPORE
772656241194,17/03/2025 12:21PM - Delivered - Delivered at SINGAPORE
772656293055,17/03/2025 01:53PM - Delivered - Delivered at SINGAPORE
772710520015,17/03/2025 08:39AM - Out for delivery - On FedEx vehicle for delivery at SINGAPORE
772710571862,17/03/2025 01:53PM - Delivered - Delivered at SINGAPORE
772714452322,17/03/2025 11:44AM - Delivered - Delivered at SINGAPORE
772711353176,17/03/2025 04:13AM - On the way - At local FedEx facility at GUANGZHOU
772710298665,16/03/2025 06:50PM - On the way - Arrived at FedEx location at ANCHORAGE
,Error,Error,Error
